tag,n,start,load,style.load,idle
(index):64 idle,1000,789.6000000238419,3746.5999999940395,840.5999999940395,3747.0999999940395

(index):64 idle,1,928.4000000059605,2943.4000000059605,793.5,2943.699999988079

(index):64 idle,10,729.1999999880791,2657.600000023842,665.1000000238419,2688.9000000059605

(index):64 idle,500,713.9000000059605,2525.199999988079,511.39999997615814,2898

(index):64 idle,100,579.5,2367.2999999821186,592.2999999821186,2405.4000000059605

(index):64 idle,100,810.3999999761581,2285.100000023842,470.30000001192093,2285.4000000059605

(index):64 idle,10,723.9000000059605,2442.0999999940395,507.2000000178814,2442.5999999940395

(index):64 idle,20,758.2000000178814,2537.4000000059605,541,2537.7999999821186

(index):64 idle,20,724.3000000119209,2405.199999988079,511.5,2405.5

(index):64 idle,1000,754.2000000178814,3129.199999988079,717.1999999880791,3129.5999999940395

(index):64 idle,500,822.0999999940395,3038.199999988079,837.4000000059605,3391.699999988079

(index):64 idle,20,631.8000000119209,2586.7999999821186,804.6999999880791,2623.5

(index):64 idle,20,621.2999999821186,2572.4000000059605,720.7000000178814,2955.7000000178814

(index):64 idle,500,595.5,2959.300000011921,734.5,2959.800000011921

(index):64 idle,100,786.3000000119209,3098.4000000059605,597.9000000059605,3099.5999999940395


idle,10,648.7999999821186,2779.800000011921,751.2000000178814,2780

(index):64 idle,100,724.2000000178814,3454.699999988079,696.0999999940395,3455.199999988079

(index):64 idle,10,767.9000000059605,2739.5999999940395,743.2000000178814,2740.0999999940395












